domain_key,rettsomrade,xapi_total,matched_terms
arbeidsrett,Arbeidsrett,51,arbeid
arbeidsrett,Arbeidsforhold,40,arbeid
arbeidsrett,Arbeidsforhold. Sysselsetting,37,"arbeid, sysselsetting"
arbeidsrett,Offentlige tjenestemenn,14,tjenestemenn
arbeidsrett,Arbeids- og sosialpolitikk,13,arbeid
arbeidsrett,Tariffavtaler,11,tariff
arbeidsrett,Arbeidsmiljø,9,"arbeid, arbeidsmiljø"
arbeidsrett,Arbeidstvister,8,"arbeid, arbeidstvist"
arbeidsrett,Ansettelse. Avskjed. Oppsigelse,7,"ansett, oppsigelse, avskjed"
arsregnskap_og_selskapsrapportering,Banker,24,bank
arsregnskap_og_selskapsrapportering,Finansielle tjenester,23,finans
arsregnskap_og_selskapsrapportering,Regnskap,7,regnskap
arsregnskap_og_selskapsrapportering,Revisjon,7,revisjon
arsregnskap_og_selskapsrapportering,"Bank, finans og regnskapsrett",0,"regnskap, bank, finans"
avtalerett,Anskaffelser,14,anskaffelser
avtalerett,Forbrukerkjøp,11,"kjøp, forbrukerkjøp"
avtalerett,Tariffavtaler,11,avtal
avtalerett,Avtaler,6,avtal
avtalerett,Kjøp,2,kjøp
avtalerett,"Anskaffelser, avtaler, bygg og entrepriser",1,"avtal, anskaffelser, entrepriser"
avtalerett,Entrepriser,1,entrepriser
avtalerett,Skatteavtaler,1,avtal
avtalerett,"Forbruker-, kjøps- og konkurranserett",0,kjøp
inkasso_og_tvangsfullbyrdelse,Tvangsfullbyrdelse,10,"tvang, tvangsfullbyrdelse"
inkasso_og_tvangsfullbyrdelse,Inkasso,4,inkasso
inkasso_og_tvangsfullbyrdelse,Tvangsgrunnlag og tvangskraft,2,tvang
konkursrett_og_insolvens,Gjeldsforhandling. Konkurs,8,"konkurs, gjeldsforhandling, gjeld"
konkursrett_og_insolvens,Gjeldsordning,7,gjeld
konkursrett_og_insolvens,"Konkurs, gjeld og pant",0,"konkurs, gjeld"
manda_fusjon_fisjon,Selskaper. Statsforetak,24,"selskap, foretak"
manda_fusjon_fisjon,Aksjeselskaper og allmennaksjeselskaper,17,"selskap, aksje"
manda_fusjon_fisjon,Fond,17,fond
manda_fusjon_fisjon,Helseforetak,15,foretak
manda_fusjon_fisjon,Foretak,5,foretak
manda_fusjon_fisjon,Samvirkeforetak,5,foretak
manda_fusjon_fisjon,Stiftelser/legater og foreninger,5,forening
manda_fusjon_fisjon,Selskapsrett,3,selskap
manda_fusjon_fisjon,"Selskaper, fond og foreninger",0,"selskap, forening, fond"
obligasjonsrett,Erstatnings- og forsikringsrett,34,erstatning
obligasjonsrett,Forbrukerkjøp,11,kjøp
obligasjonsrett,Skadeserstatning,11,erstatning
obligasjonsrett,Tariffavtaler,11,avtal
obligasjonsrett,Obligasjoner,10,obligasjon
obligasjonsrett,Avtaler,6,avtal
obligasjonsrett,Person- og pasientskadeerstatning,6,erstatning
obligasjonsrett,Kjøp,2,kjøp
obligasjonsrett,"Anskaffelser, avtaler, bygg og entrepriser",1,avtal
obligasjonsrett,Skatteavtaler,1,avtal
obligasjonsrett,"Forbruker-, kjøps- og konkurranserett",0,kjøp
panterett_og_sikkerhetsrett,HMS og beredskaps- og sikkerhetsrett,38,"sikkerhet, sikkerhetsrett"
panterett_og_sikkerhetsrett,Samfunnssikkerhet,18,sikkerhet
panterett_og_sikkerhetsrett,Tinglysing. Registrering,15,tinglysing
panterett_og_sikkerhetsrett,Gjeldsforhandling. Konkurs,8,gjeld
panterett_og_sikkerhetsrett,Gjeldsordning,7,gjeld
panterett_og_sikkerhetsrett,Pant,5,pant
panterett_og_sikkerhetsrett,"Helse, miljø og sikkerhet",2,sikkerhet
panterett_og_sikkerhetsrett,"Den offentlige ro, orden og sikkerhet",0,sikkerhet
panterett_og_sikkerhetsrett,"Konkurs, gjeld og pant",0,"pant, gjeld"
pengekravsrett_fordringer,Gjeldsforhandling. Konkurs,8,gjeld
pengekravsrett_fordringer,Gjeldsordning,7,gjeld
pengekravsrett_fordringer,"Konkurs, gjeld og pant",0,gjeld
personvern_gdpr_business_compliance,Personopplysninger,29,personopplys
personvern_gdpr_business_compliance,Personrett. Personvern,19,personvern
selskapsrett,Selskaper. Statsforetak,24,"selskap, foretak"
selskapsrett,Aksjeselskaper og allmennaksjeselskaper,17,"selskap, aksje, allmennaksje"
selskapsrett,Fond,17,fond
selskapsrett,Helseforetak,15,foretak
selskapsrett,Foretak,5,foretak
selskapsrett,Samvirkeforetak,5,foretak
selskapsrett,Stiftelser/legater og foreninger,5,forening
selskapsrett,Selskapsrett,3,selskap
selskapsrett,"Selskaper, fond og foreninger",0,"selskap, forening, fond"
tvistelosning_smb,Sivilprosess/tvisteloven,20,"tvist, sivilprosess"
tvistelosning_smb,Arbeidstvister,8,tvist
tvistelosning_smb,Domstolloven,5,domstol
