domain_key,xapi_rettsomrade,exact_api_total
arbeidsrett,Arbeidsrett,51
arsregnskap_og_selskapsrapportering,Regnskap,7
arsregnskap_og_selskapsrapportering,"Bank, finans og regnskapsrett",0
avtalerett,Avtaler,6
avtalerett,"Anskaffelser, avtaler, bygg og entrepriser",1
avtalerett,"Forbruker-, kjøps- og konkurranserett",0
avtalerett,Kjøp,2
avtalerett,Forbrukerkjøp,11
inkasso_og_tvangsfullbyrdelse,Tvangsfullbyrdelse,10
konkursrett_og_insolvens,"Konkurs, gjeld og pant",0
konkursrett_og_insolvens,Gjeldsforhandling. Konkurs,8
manda_fusjon_fisjon,Aksjeselskaper og allmennaksjeselskaper,17
obligasjonsrett,Avtaler,6
obligasjonsrett,Kjøp,2
panterett_og_sikkerhetsrett,Pant,5
panterett_og_sikkerhetsrett,"Konkurs, gjeld og pant",0
pengekravsrett_fordringer,Gjeldsordning,7
pengekravsrett_fordringer,Gjeldsforhandling. Konkurs,8
personvern_gdpr_business_compliance,Personrett. Personvern,19
personvern_gdpr_business_compliance,Personopplysninger,29
selskapsrett,"Selskaper, fond og foreninger",0
selskapsrett,Aksjeselskaper og allmennaksjeselskaper,17
tvistelosning_smb,Sivilprosess/tvisteloven,20
tvistelosning_smb,Domstolloven,5
